time_hours,time_days,soc,soh,capacity,current,temperature,total_ah_throughput,efc,current_dod,calendar_age_days,calendar_loss,cyclic_loss
532.6000000000525,22.191666666668855,0.3,99.99999999580865,299.99999998742595,158.0,25.0,58762.650000004345,97.47175000000718,0.36250000000008237,22.0833333333355,1.0611557383533185e-11,2.4544194288431922e-11
533.6000000000528,22.233333333335533,0.3333333333333409,99.99999999580865,299.99999998742595,-100.0,25.0,58894.35000000437,97.47175000000718,0.36250000000008237,22.0833333333355,1.0631474849552007e-11,2.9318459454362676e-11
534.600000000053,22.27500000000221,0.3,99.99999999580865,299.99999998742595,108.5,25.0,59011.75000000439,97.47175000000718,0.36250000000008237,22.0833333333355,1.0642985122378831e-11,2.4544194288431922e-11
535.6000000000532,22.316666666668883,0.36683333333334855,99.99999999580865,299.99999998742595,-100.0,25.0,59113.250000004395,97.47175000000718,0.36250000000008237,22.0833333333355,1.0667136563525823e-11,3.412420208079384e-11
536.6000000000535,22.358333333335562,0.3,99.99999999580865,299.99999998742595,116.0,25.0,59220.40000000442,97.47175000000718,0.36250000000008237,22.0833333333355,1.06743880626708e-11,2.4544194288431922e-11
537.6000000000537,22.400000000002237,0.34783333333334426,99.99999999580865,299.99999998742595,-100.0,25.0,59338.20000000443,97.47175000000718,0.36250000000008237,22.0833333333355,1.0696143594143662e-11,3.139762142590299e-11
538.6000000000539,22.44166666666891,0.42950000000002947,99.99999999580865,299.99999998742595,-100.0,25.0,59439.450000004435,97.47175000000718,0.36250000000008237,22.0833333333355,1.0722205748704491e-11,4.313450101847591e-11
539.6000000000541,22.48333333333559,0.4656666666667043,99.99999999580865,299.99999998742595,-100.0,25.0,59528.600000004444,97.47175000000718,0.36250000000008237,22.0833333333355,1.0742507647488151e-11,4.8346711444205696e-11
540.6000000000544,22.525000000002265,0.3290000000000067,99.9999999957468,299.9999999872404,128.0,25.0,59649.600000004466,99.29975000000742,0.36250000000008237,22.50000000000226,1.0740812193184644e-11,2.922471072807582e-11
541.6000000000546,22.56666666666894,0.3448333333333436,99.9999999957468,299.9999999872404,-100.0,25.0,59766.800000004485,99.29975000000742,0.36250000000008237,22.50000000000226,1.0758504035666833e-11,3.153637747798299e-11
542.6000000000548,22.60833333333562,0.3,99.9999999957468,299.9999999872404,123.5,25.0,59886.35000000451,99.29975000000742,0.36250000000008237,22.50000000000226,1.0768449206517948e-11,2.4995209658592914e-11
543.600000000055,22.650000000002294,0.3333333333333409,99.9999999957468,299.9999999872404,-100.0,25.0,59976.05000000453,99.29975000000742,0.36250000000008237,22.50000000000226,1.078836715000754e-11,2.985720502033922e-11
544.6000000000553,22.69166666666897,0.3,99.9999999957468,299.9999999872404,131.0,25.0,60084.80000000454,99.29975000000742,0.36250000000008237,22.50000000000226,1.0799754062340663e-11,2.4995209658592914e-11
545.6000000000555,22.733333333335647,0.3,99.9999999957468,299.9999999872404,165.5,25.0,60200.40000000456,99.29975000000742,0.36250000000008237,22.50000000000226,1.0815397390447195e-11,2.4995209658592914e-11
